1638215250.3393075,0.0,0.0,0.0
1638215250.3795214,0.06,0.004,0.972
1638215250.4198332,0.068,0.004,0.98
1638215250.4600604,0.056,-0.004,0.96
1638215250.5002704,0.06,-0.004,0.9560000000000001
1638215250.540477,0.052000000000000005,0.0,0.9480000000000001
1638215250.5806649,0.052000000000000005,0.0,0.98
1638215250.620876,0.056,-0.012,0.98
1638215250.6610832,0.044,-0.004,1.016
1638215250.7012908,0.08,0.004,1.008
1638215250.741494,0.052000000000000005,-0.004,0.996
1638215250.7816837,0.048,0.004,0.98
1638215250.821892,0.044,-0.004,0.98
1638215250.8620954,0.036000000000000004,-0.008,0.964
1638215250.9023018,0.028,0.0,0.9520000000000001
1638215250.9425077,0.036000000000000004,-0.012,0.9520000000000001
1638215250.9827034,0.024,-0.012,0.92
1638215251.0231285,0.028,-0.004,0.964
1638215251.0635624,0.032,-0.024,0.924
1638215251.1039958,0.044,-0.028,0.908
1638215251.1444204,0.048,-0.016,0.924
1638215251.1848161,0.064,-0.004,0.9440000000000001
1638215251.2252457,0.044,-0.032,0.908
1638215251.265677,0.064,-0.02,0.984
1638215251.3061113,0.068,-0.044,0.988
1638215251.3465366,0.07200000000000001,-0.06,0.98
1638215251.3869348,0.088,-0.06,0.98
1638215251.427367,0.10400000000000001,-0.064,1.016
1638215251.4678113,0.10400000000000001,-0.068,0.976
1638215251.508247,0.108,-0.052000000000000005,0.9480000000000001
1638215251.5486712,0.096,-0.04,0.9400000000000001
1638215251.5890627,0.092,-0.088,0.884
1638215251.6294818,0.096,-0.1,0.908
1638215251.6699092,0.1,-0.116,0.936
1638215251.7103379,0.124,-0.16,0.968
1638215251.7507925,0.17200000000000001,-0.1,1.076
1638215251.7911897,0.16,-0.056,1.008
1638215251.831612,0.14400000000000002,-0.068,0.9520000000000001
1638215251.872111,0.18,-0.02,1.032
1638215251.912527,0.156,-0.028,0.9560000000000001
1638215251.952957,0.16,-0.016,0.992
1638215251.993357,0.168,-0.052000000000000005,1.016
